Age	Male Life Expectancy	Female Life Expectancy
0	76.18	80.95
1	75.69	80.39
2	74.72	79.42
3	73.74	78.44
4	72.76	77.45
5	71.77	76.47
6	70.78	75.48
7	69.79	74.48
8	68.80	73.49
9	67.81	72.5
10	66.82	71.51
11	65.82	70.51
12	64.83	69.52
13	63.84	68.52
14	62.85	67.53
15	61.87	66.54
16	60.90	65.56
17	59.93	64.57
18	58.97	63.59
19	58.02	62.61
20	57.07	61.63
21	56.13	60.66
22	55.20	59.68
23	54.27	58.71
24	53.35	57.74
25	52.42	56.76
26	51.49	55.79
27	50.56	54.82
28	49.63	53.85
29	48.69	52.88
30	47.76	51.92
31	46.83	50.95
32	45.90	49.99
33	44.96	49.02
34	44.03	48.06
35	43.10	47.1
36	42.17	46.15
37	41.24	45.19
38	40.31	44.23
39	39.39	43.28
40	38.46	42.33
41	37.54	41.39
42	36.62	40.45
43	35.71	39.51
44	34.81	38.57
45	33.91	37.65
46	33.02	36.72
47	32.13	35.81
48	31.26	34.89
49	30.39	33.99
50	29.53	33.09
51	28.68	32.19
52	27.84	31.3
53	27.01	30.42
54	26.19	29.54
55	25.38	28.67
56	24.57	27.8
57	23.78	26.93
58	22.99	26.07
59	22.21	25.22
60	21.44	24.37
61	20.67	23.52
62	19.90	22.68
63	19.15	21.85
64	18.40	21.03
65	17.66	20.22
66	16.93	19.42
67	16.21	18.63
68	15.51	17.85
69	14.81	17.09
70	14.13	16.33
71	13.47	15.59
72	12.81	14.86
73	12.18	14.14
74	11.55	13.44
75	10.94	12.76
76	10.34	12.09
77	9.76	11.44
78	9.20	10.8
79	8.66	10.18
80	8.13	9.58
81	7.62	9
82	7.14	8.43
83	6.68	7.89
84	6.23	7.37
85	5.81	6.87
86	5.40	6.4
87	5.02	5.94
88	4.65	5.52
89	4.31	5.12
90	4.00	4.75
91	3.70	4.4
92	3.44	4.08
93	3.19	3.79
94	2.97	3.53
95	2.78	3.29
96	2.61	3.08
97	2.46	2.89
98	2.33	2.72
99	2.21	2.56
100	2.09	2.41
101	1.98	2.27
102	1.88	2.13
103	1.77	2
104	1.68	1.87
105	1.58	1.75
106	1.49	1.64
107	1.40	1.53
108	1.32	1.43
109	1.24	1.33
110	1.16	1.23
